transaction_id,txn_date,settlement_date,txn_amount_inr,settled_amount_inr,txn_amount_paise,settled_amount_paise,settlement_count,delta_inr,delta_paise,gap_type,in_platform,in_bank,settlement_id,bank_reference,is_bank_duplicate,is_duplicate_by_ref,is_duplicate_amount_date,original_transaction_id
TXN-1009,2024-01-12,2024-01-13,4200.0,4200.0,420000,420000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2010,AXIS-7803,False,False,False,
TXN-1018,2024-01-25,2024-01-26,499.0,499.0,49900,49900.0,1.0,0.0,0.0,MATCHED,True,True,SET-2018,SBI-3403,False,False,False,
TXN-1013,2024-01-18,2024-01-19,5600.0,5600.0,560000,560000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2013,SBI-3402,False,False,False,
TXN-1016,2024-01-23,2024-01-24,18000.0,18000.0,1800000,1800000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2016,ICICI-4504,False,False,False,
TXN-1020,2024-01-28,2024-01-30,5600.0,5600.0,560000,560000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2020,AXIS-7805,False,False,False,
TXN-1021,2024-01-29,2024-01-31,5600.0,5600.0,560000,560000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2021,KOTAK-5602,False,False,False,
TXN-1008,2024-01-11,2024-01-13,199.99,199.99,19999,19999.0,1.0,0.0,0.0,MATCHED,True,True,SET-2009,SBI-3401,False,False,False,
TXN-1007,2024-01-09,2024-01-11,2100.75,2100.75,210075,210075.0,1.0,0.0,0.0,MATCHED,True,True,SET-2008,HDFC-9004,False,False,False,
TXN-1002,2024-01-04,2024-01-05,2100.75,2100.75,210075,210075.0,1.0,0.0,0.0,MATCHED,True,True,SET-2002,HDFC-9002,False,False,False,
TXN-1003,2024-01-05,2024-01-07,750.0,750.0,75000,75000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2003,ICICI-4501,False,False,False,
TXN-1019,2024-01-26,2024-01-28,6750.0,6750.0,675000,675000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2019,HDFC-9007,False,False,False,
TXN-1005,2024-01-07,2024-01-08,1450.0,1450.0,145000,145000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2005,HDFC-9003,False,False,False,
TXN-1031,2024-02-11,2024-02-13,18000.0,18000.0,1800000,1800000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2032,KOTAK-5603,False,False,False,
TXN-1030,2024-02-10,2024-02-12,999.95,999.95,99995,99995.0,1.0,0.0,0.0,MATCHED,True,True,SET-2031,AXIS-7807,False,False,False,
TXN-1029,2024-02-09,2024-02-11,8100.0,8100.0,810000,810000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2030,HDFC-9011,False,False,False,
TXN-1028,2024-02-07,2024-02-09,1450.0,1450.0,145000,145000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2029,SBI-3405,False,False,False,
TXN-1026,2024-02-04,2024-02-06,4200.0,4200.0,420000,420000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2027,HDFC-9010,False,False,False,
TXN-1025,2024-02-03,2024-02-04,299.5,299.5,29950,29950.0,1.0,0.0,0.0,MATCHED,True,True,SET-2026,AXIS-7806,False,False,False,
TXN-1037,2024-02-17,2024-02-19,6750.0,6750.0,675000,675000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2037,HDFC-9014,False,False,False,
TXN-1034,2024-02-14,2024-02-15,499.0,499.0,49900,49900.0,1.0,0.0,0.0,MATCHED,True,True,SET-2034,HDFC-9013,False,False,False,
TXN-1041,2024-02-24,2024-02-25,1200.0,1200.0,120000,120000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2041,AXIS-7809,False,False,False,
TXN-1040,2024-02-22,2024-02-24,750.0,750.0,75000,75000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2040,SBI-3406,False,False,False,
TXN-1043,2024-02-27,2024-02-28,3350.0,3350.0,335000,335000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2043,HDFC-9016,False,False,False,
TXN-1042,2024-02-26,2024-02-27,3200.0,3200.0,320000,320000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2042,ICICI-4509,False,False,False,
TXN-1044,2024-02-28,2024-02-29,5600.0,5600.0,560000,560000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2044,SBI-3407,False,False,False,
TXN-1039,2024-02-20,2024-02-22,12750.0,12750.0,1275000,1275000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2039,HDFC-9015,False,False,False,
TXN-1036,2024-02-16,2024-02-18,22000.0,22000.0,2200000,2200000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2036,ICICI-4508,False,False,False,
TXN-1035,2024-02-15,2024-02-17,999.95,999.95,99995,99995.0,1.0,0.0,0.0,MATCHED,True,True,SET-2035,ICICI-4507,False,False,False,
TXN-1049,2024-03-05,2024-03-06,9875.0,9875.0,987500,987500.0,1.0,0.0,0.0,MATCHED,True,True,SET-2050,SBI-3408,False,False,False,
TXN-1047,2024-03-03,2024-03-04,3350.0,3350.0,335000,335000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2047,ICICI-4510,False,False,False,
TXN-1046,2024-03-02,2024-03-04,199.99,199.99,19999,19999.0,1.0,0.0,0.0,MATCHED,True,True,SET-2046,HDFC-9017,False,False,False,
TXN-1050,2024-03-06,2024-03-07,999.95,999.95,99995,99995.0,1.0,0.0,0.0,MATCHED,True,True,SET-2051,HDFC-9018,False,False,False,
TXN-1054,2024-03-13,2024-03-14,11200.0,11200.0,1120000,1120000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2055,ICICI-4511,False,False,False,
TXN-1055,2024-03-15,2024-03-16,2100.75,2100.75,210075,210075.0,1.0,0.0,0.0,MATCHED,True,True,SET-2056,SBI-3409,False,False,False,
TXN-1051,2024-03-08,2024-03-09,3200.0,3200.0,320000,320000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2052,AXIS-7811,False,False,False,
TXN-1052,2024-03-10,2024-03-12,12750.0,12750.0,1275000,1275000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2053,KOTAK-5606,False,False,False,
TXN-1057,2024-03-17,2024-03-18,18000.0,18000.0,1800000,1800000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2058,HDFC-9020,False,False,False,
TXN-1056,2024-03-16,2024-03-17,4200.0,4200.0,420000,420000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2057,AXIS-7812,False,False,False,
TXN-1060,2024-03-19,2024-03-20,299.5,299.5,29950,29950.0,1.0,0.0,0.0,MATCHED,True,True,SET-2060,SBI-3410,False,False,False,
TXN-1061,2024-03-21,2024-03-23,11200.0,11200.0,1120000,1120000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2061,HDFC-9021,False,False,False,
TXN-1063,2024-03-23,2024-03-24,18000.0,18000.0,1800000,1800000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2063,KOTAK-5607,False,False,False,
TXN-1062,2024-03-22,2024-03-23,9875.0,9875.0,987500,987500.0,1.0,0.0,0.0,MATCHED,True,True,SET-2062,AXIS-7813,False,False,False,
TXN-1004,2024-01-06,2024-01-07,299.5,299.5,29950,29950.0,1.0,0.0,0.0,MATCHED,True,True,SET-2004,ICICI-4502,False,False,False,
TXN-1001,2024-01-03,2024-01-05,750.0,750.0,75000,75000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2001,HDFC-9001,False,False,False,
TXN-1067,2024-03-30,2024-03-31,8100.0,8100.0,810000,810000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2067,ICICI-4514,False,False,False,
TXN-1065,2024-03-27,2024-03-29,750.0,750.0,75000,75000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2065,HDFC-9023,False,False,False,
TXN-1070,2024-04-03,2024-04-04,1450.0,1450.0,145000,145000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2070,HDFC-9025,False,False,False,
TXN-1069,2024-04-02,2024-04-03,750.0,750.0,75000,75000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2069,AXIS-7814,False,False,False,
TXN-1071,2024-04-05,2024-04-07,7400.0,7400.0,740000,740000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2071,SBI-3411,False,False,False,
TXN-1072,2024-04-06,2024-04-07,8100.0,8100.0,810000,810000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2072,AXIS-7815,False,False,False,
TXN-1073,2024-04-07,2024-04-08,8100.0,8100.0,810000,810000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2073,ICICI-4515,False,False,False,
TXN-1075,2024-04-09,2024-04-11,2100.75,2100.75,210075,210075.0,1.0,0.0,0.0,MATCHED,True,True,SET-2075,SBI-3412,False,False,False,
TXN-1076,2024-04-10,2024-04-11,9875.0,9875.0,987500,987500.0,1.0,0.0,0.0,MATCHED,True,True,SET-2076,AXIS-7816,False,False,False,
TXN-1077,2024-04-12,2024-04-13,6750.0,6750.0,675000,675000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2077,HDFC-9027,False,False,False,
TXN-1078,2024-04-13,2024-04-15,6750.0,6750.0,675000,675000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2078,ICICI-4516,False,False,False,
TXN-1079,2024-04-14,2024-04-16,3200.0,3200.0,320000,320000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2079,KOTAK-5608,False,False,False,
TXN-1080,2024-04-16,2024-04-17,7400.0,7400.0,740000,740000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2080,SBI-3413,False,False,False,
TXN-1081,2024-04-18,2024-04-19,1450.0,1450.0,145000,145000.0,1.0,0.0,0.0,MATCHED,True,True,SET-2081,HDFC-9028,False,False,False,
TXN-1082,2024-04-20,2024-04-22,299.5,299.5,29950,29950.0,1.0,0.0,0.0,MATCHED,True,True,SET-2082,AXIS-7817,False,False,False,
TXN-1083,2024-04-21,2024-04-23,299.5,299.5,29950,29950.0,1.0,0.0,0.0,MATCHED,True,True,SET-2083,KOTAK-5609,False,False,False,
